type,functional_id,connectivity,comment,reconstruction,nucleus_id,soma_id,axon_id,dendrite_id,functional classifier,neurotransmitter classifier,projection classifier,neuroglancer_link,imaging_modality,date_of_tracing,tracer names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,3980,9276 output,within volume,"axon complete, dendrites complete",576460752619742263,576460752707145126,576460752663375129,576460752737178264,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5733445729779712,EM,2024-07-11,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,4107,,within volume,"axon complete, dendrites complete",576460752632592579,576460752738891617,576460752744822569,576460752711062889,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6394865962188800,EM,2024-07-11,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,4640,,axon exits the volume caudally,"axon complete, dendrites complete",576460752641632415,576460752702908127,576460752783324929,576460752637141358,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5851128451301376,EM,2023-06-10,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,2852,,within volume,"axon complete, dendrites complete",576460752641656991,576460752727631580,576460752735883137,576460752656783858,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4510036724285440,EM,2024-03-07,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,8783,,within volume,"axon complete, dendrites complete",576460752654232626,576460752697223387,576460752757092013,576460752702936815,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4558765074415616,EM,2023-10-03,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,3809,,"bilateral, within volume","axon complete, dendrites complete",576460752669674090,576460752701265374,576460752705105087,576460752721769928,motion_integrator,excitatory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6341313001684992,EM,2024-03-20,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,2903,,within volume,"axon complete, dendrites complete",576460752676282689,576460752679851372,576460752686980677,576460752715901202,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6731215076851712,EM,2024-11-25,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,4476,5164 output,within volume,"axon complete, dendrites complete",576460752678449802,576460752694906737,576460752657924766,576460752644330782,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6221104721952768,EM,2024-08-23,Jay Hareshbhai Savaliya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,8365,5164 output,within volume,"axon complete, dendrites complete",576460752680445826,576460752631397862,576460752679896576,576460752720353337,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4570729967255552,EM,2024-07-10,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,7861,5164 output,within volume,"axon complete, dendrites complete",576460752680488066,576460752729504268,576460752658121250,576460752726025278,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6222551337402368,EM,2024-06-20,Jay Hareshbhai Savaliya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,9978,,within volume,"axon complete, dendrites complete",576460752680588674,576460752627812443,576460752738878561,576460752702904543,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5347962597146624,EM,2024-02-21,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,615,,"bilateral, axon exits the volume rostrally","axon complete, dendrites complete",576460752683430028,576460752672490763,576460752704600282,576460752733859780,motion_integrator,inhibitory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4583499338088448,EM,2024-04-02,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell,6955,,axon exits the volume rostrally,"axon complete, dendrites complete",576460752693275413,576460752643479481,576460752662305146,576460752762939074,motion_integrator,excitatory,contralateral,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6564915240239104,EM,2024-03-16,Jonathan Boulanger-Weill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
