postsynaptic_ID x_(8_nm) y_(8_nm) z_(30_nm) synapse_id size prediction_status validation_status date
576460752366199953 16126 27882 1200 3774722 5 predicted "below cut-off" 2025-12-01
576460752698341474 17886 25318 3716 5183757 138 predicted valid 2025-12-01
576460752788265009 17208 28738 797 5279875 29 predicted "below cut-off" 2025-12-01
576460752417340410 17256 25532 3188 5192346 16 predicted "below cut-off" 2025-12-01
576460752417340410 17312 25472 3225 5185078 146 predicted valid 2025-12-01
576460752682521622 16662 26402 2370 4457563 46 predicted valid 2025-12-01
576460752604440615 15368 27288 1755 3026106 103 predicted valid 2025-12-01
576460752784513329 17974 25372 3830 5987108 26 predicted "below cut-off" 2025-12-01
576460752788265009 17238 28760 788 5279906 31 predicted "below cut-off" 2025-12-01
576460752698341474 17892 25296 3725 5183768 12 predicted "below cut-off" 2025-12-01
576460752510884951 15340 27112 1779 3006358 209 predicted valid 2025-12-01
576460752366194833 16110 27874 1190 3774685 54 predicted valid 2025-12-01
576460752577392161 16508 28066 1044 4496432 12 predicted "below cut-off" 2025-12-01
576460752398890814 17230 25650 3116 5199219 5 predicted "below cut-off" 2025-12-01
576460752701719942 16518 28258 1005 4502010 24 predicted "below cut-off" 2025-12-01
576460752519119925 15868 26730 2105 3729511 11 predicted "below cut-off" 2025-12-01
576460752395505470 17340 25464 3263 5185103 38 predicted "below cut-off" 2025-12-01
576460752577931553 16448 28072 1046 4496368 5 predicted "below cut-off" 2025-12-01
576460752626547402 16454 26778 2281 4442077 24 predicted "below cut-off" 2025-12-01
576460752823807025 15618 26962 1589 3069228 148 predicted valid 2025-12-01
576460752680182039 17280 25632 3147 5199253 14 predicted "below cut-off" 2025-12-01
576460752674903724 17278 25556 3160 5192354 85 predicted valid 2025-12-01
576460752725576955 18226 29650 301 6125017 17 predicted "below cut-off" 2025-12-01
576460752723542296 15352 27118 1783 3006379 113 predicted valid 2025-12-01
576460752626981110 17076 25834 2645 4447052 11 predicted "below cut-off" 2025-12-01
576460752772026881 15510 26716 1789 3006646 40 predicted "below cut-off" 2025-12-01
576460752641287869 17942 25264 3755 5987061 119 predicted valid 2025-12-01
576460752399310142 17250 25632 3121 5199223 221 predicted valid 2025-12-01
576460752383096140 18206 29616 308 6124997 244 predicted valid 2025-12-01
576460752675111084 17298 25578 3183 5192381 14 predicted "below cut-off" 2025-12-01
576460752650953717 17356 25492 3259 5185114 36 predicted "below cut-off" 2025-12-01
576460752691824093 16432 28288 1018 4501901 92 predicted valid 2025-12-01
576460752723398680 15336 27330 1756 3026052 10 predicted "below cut-off" 2025-12-01
576460752761429148 16356 28088 1080 3768898 97 predicted valid 2025-12-01
576460752730517426 17210 28714 791 5279869 91 predicted valid 2025-12-01
576460752694036087 16080 27834 1191 3774655 7 predicted "below cut-off" 2025-12-01
576460752694036087 16134 27862 1189 3774721 83 predicted valid 2025-12-01
576460752548501093 15622 26994 1597 3730288 7 predicted "below cut-off" 2025-12-01
576460752698926434 17238 25658 3119 5199225 10 predicted "below cut-off" 2025-12-01
576460752679711780 17238 25622 3113 5199222 8 predicted "below cut-off" 2025-12-01
576460752729932116 17416 25538 3267 5185191 10 predicted "below cut-off" 2025-12-01
576460752578095393 16478 28078 1048 4496395 216 predicted valid 2025-12-01
576460752604866343 15378 27296 1766 3026129 27 predicted "below cut-off" 2025-12-01
576460752680198423 17868 25346 3704 5177019 7 predicted "below cut-off" 2025-12-01
576460752693489460 17168 28718 795 5279830 35 predicted "below cut-off" 2025-12-01
