postsynaptic_ID x_(8_nm) y_(8_nm) z_(30_nm) synapse_id size prediction_status validation_status date x_nm_res y_nm_res z_nm_res
576460752791573809 19632 32058 2568 7833745 5 predicted "below cut-off" 2025-12-01 157056 256464 77040
576460752479160508 18834 32494 2950 6987669 58 predicted valid 2025-12-01 150672 259952 88500
576460752370270504 17046 32902 3363 4706714 5 predicted "below cut-off" 2025-12-01 136368 263216 100890
576460752369465896 17114 32808 3306 4688938 20 predicted "below cut-off" 2025-12-01 136912 262464 99180
576460752731618332 19598 32014 2579 7833723 27 predicted "below cut-off" 2025-12-01 156784 256112 77370
576460752701804051 19428 32094 2648 6994333 34 predicted "below cut-off" 2025-12-01 155424 256752 79440
576460752696731197 18550 32850 2523 6236863 38 predicted "below cut-off" 2025-12-01 148400 262800 75690
576460752468307120 18596 32192 2533 6214024 128 predicted valid 2025-12-01 148768 257536 75990
576460752686861732 20290 31632 2612 8640825 402 predicted valid 2025-12-01 162320 253056 78360
576460752498135107 19600 32030 2554 7826904 91 predicted valid 2025-12-01 156800 256240 76620
576460752791497521 19078 32704 2537 7016440 17 predicted "below cut-off" 2025-12-01 152624 261632 76110
576460752648019698 18448 32952 2527 6236413 51 predicted valid 2025-12-01 147584 263616 75810
576460752673641463 23276 38816 2554 10734599 5 predicted "below cut-off" 2025-12-01 186208 310528 76620
576460752655755304 20198 31650 2703 7803638 296 predicted valid 2025-12-01 161584 253200 81090
576460752781510193 20548 31216 2586 8641158 8 predicted "below cut-off" 2025-12-01 164384 249728 77580
576460752661395990 17798 32296 2813 5404100 177 predicted valid 2025-12-01 142384 258368 84390
576460752672886772 20592 31196 2565 8641192 6 predicted "below cut-off" 2025-12-01 164736 249568 76950
576460752676223198 20192 31846 2683 7834359 39 predicted "below cut-off" 2025-12-01 161536 254768 80490
576460752697673533 18804 32558 2937 7020183 8 predicted "below cut-off" 2025-12-01 150432 260464 88110
576460752699117954 18038 32922 3226 6235118 18 predicted "below cut-off" 2025-12-01 144304 263376 96780
576460752679739103 18642 32186 2547 6214100 82 predicted valid 2025-12-01 149136 257488 76410
576460752447320821 18968 32854 2624 7015633 8 predicted "below cut-off" 2025-12-01 151744 262832 78720
576460752366551848 17028 33282 3577 4689729 19 predicted "below cut-off" 2025-12-01 136224 266256 107310
576460752679517407 20258 31636 2606 8640795 122 predicted valid 2025-12-01 162064 253088 78180
576460752447320053 19302 32834 2627 7015956 40 predicted "below cut-off" 2025-12-01 154416 262672 78810
576460752699558786 18808 32528 2948 7003754 6 predicted "below cut-off" 2025-12-01 150464 260224 88440
576460752513809951 18474 32950 2522 6236436 34 predicted "below cut-off" 2025-12-01 147792 263600 75660
