time_s,mean_null_norm
0.0,-0.5929714272566083
0.5,-0.3912552881349748
1.0,-0.27696075014380994
1.5,-0.24074724264468042
2.0,-0.2732741949991648
2.5,-0.3652010365688287
3.0,-0.5071871967152433
3.5,-0.689892104799981
4.0,-0.9039751901846115
4.5,-1.1400958822307063
5.0,-1.3889136102998358
5.5,-1.880258248470066
6.0,-2.209521955977951
6.5,-2.136616794929808
7.0,-1.927898943598803
7.5,-1.8991835155377104
8.0,-1.9778040426868937
8.5,-2.1294905923314955
9.0,-2.4009806989598554
9.5,-2.650195265088644
10.0,-2.7774172042388967
10.5,-2.7742019542976966
11.0,-2.6645329582948833
11.5,-2.456635873589573
12.0,-2.158276114071649
12.5,-1.9514715311248625
13.0,-1.747101310527279
13.5,-1.3139531959346287
14.0,-0.7507023539162223
14.5,-0.35067027099961934
15.0,-0.22594771368859948
15.5,-0.015219467498423485
16.0,0.6044886976620095
16.5,1.6062388620711987
17.0,2.618407165883765
17.5,3.4660046588422166
18.0,4.143807717259987
18.5,4.473276579730926
19.0,4.419322420992343
19.5,4.118623118054618
20.0,3.556365476166269
20.5,2.5969996246675717
21.0,1.1489473962594636
21.5,-0.5865830377051072
22.0,-2.3644672290185618
22.5,-4.234142477412894
23.0,-6.131019672120913
23.5,-7.98717012171407
24.0,-10.117914571316128
24.5,-12.635800692768715
25.0,-15.084563491692816
25.5,-17.0864336657401
26.0,-18.730618329031632
26.5,-20.242952745689962
27.0,-21.77840586967303
27.5,-23.33903062006428
28.0,-24.980381826703304
28.5,-26.65781996618642
29.0,-28.26312495865167
29.5,-29.804414581696516
30.0,-31.268375032884617
30.5,-32.75111965474805
31.0,-34.1794656140481
31.5,-35.17121000588847
32.0,-35.6691805401299
32.5,-35.97144473797103
33.0,-36.22896499963791
33.5,-36.36996443960226
34.0,-36.35540680136753
34.5,-36.31676873607798
35.0,-36.41961971498738
35.5,-36.67442817688844
36.0,-36.96760475963493
36.5,-37.23612870809322
37.0,-37.53052300536253
37.5,-37.921147233602674
38.0,-38.47749516833565
38.5,-39.13025113792284
39.0,-39.78242814068107
39.5,-40.39753191730415
40.0,-41.01822708101067
40.5,-41.735872495886355
41.0,-42.325746922171874
41.5,-42.61540198762091
42.0,-42.74707881180734
42.5,-42.86920168678268
43.0,-43.05179474997846
43.5,-43.29801121411742
44.0,-43.5993691510266
44.5,-43.913069797146186
45.0,-44.21588323695344
45.5,-44.419724918890715
46.0,-44.45170659099063
46.5,-44.46819319766216
47.0,-44.56308805974017
47.5,-44.67279007868665
48.0,-44.79597244108086
48.5,-44.97497992209446
49.0,-45.202797219421534
49.5,-45.47753911033928
50.0,-45.86350794883189
50.5,-46.324912334836704
51.0,-46.74784882372022
51.5,-47.0905419787222
52.0,-47.35205659106578
52.5,-47.74080533267928
53.0,-48.28049962324961
53.5,-48.69249842004173
54.0,-48.910464553879294
54.5,-48.9656684756841
55.0,-49.00411221181061
55.5,-49.08093453761872
56.0,-49.111405575492824
56.5,-49.085832574858586
57.0,-48.937859497653925
57.5,-48.84005226184171
58.0,-48.93213021868755
58.5,-49.03538561550393
59.0,-48.99183433410908
59.5,-48.84835450014107
60.0,-48.872183567403326
60.5,-48.952884652667244
61.0,-48.6609698683492
61.5,-48.01903666080178
62.0,-47.33436002518451
62.5,-46.80934123084295
63.0,-46.205413251502875
63.5,-45.3445521745549
64.0,-44.382761373706366
64.5,-43.354009103875335
65.0,-42.2979175603745
65.5,-41.23841915585264
66.0,-40.17533706910412
66.5,-39.089878731538725
67.0,-38.073763001987814
67.5,-37.28796050109645
68.0,-36.41851715207753
68.5,-35.36398981839192
69.0,-34.48803707587973
69.5,-33.86463558229811
70.0,-33.351184751947116
70.5,-32.710203802439125
71.0,-31.87968079542993
71.5,-31.14680197855842
72.0,-30.598315551328145
72.5,-30.204620506657854
73.0,-29.893965024209884
73.5,-29.42061177466649
74.0,-28.653374031036787
74.5,-27.77705468018777
75.0,-26.988626135581743
75.5,-26.164161835990274
76.0,-25.304496537134245
76.5,-24.41046499473406
77.0,-23.482901964510116
77.5,-22.522642202182805
78.0,-21.53052046347253
78.5,-20.507371504099687
79.0,-19.454030079784683
79.5,-18.371330946247905
