time_s,mean_null_norm
0.0,1.477802550970518
0.5,5.4430829665006355
1.0,8.344831010394763
1.5,10.29420170141699
2.0,11.402350058331404
2.5,11.780431099902078
3.0,11.5395998448931
3.5,10.791011312068553
4.0,9.645820520192515
4.5,8.21518248802908
5.0,6.610252234342195
5.5,5.707853115632672
6.0,4.032006733765621
6.5,2.47083903156603
7.0,1.7232151057501868
7.5,1.9199724458993133
8.0,2.3096271220918307
8.5,2.408820440863146
9.0,2.564244113303064
9.5,2.445472608120601
10.0,2.182742989734388
10.5,3.085430557459193
11.0,5.060919373212274
11.5,6.366319578960493
12.0,5.974929841140398
12.5,4.274239111199279
13.0,2.2320231878388537
13.5,0.6109213454390264
14.0,-0.5680228400792782
14.5,-1.4917845044305855
15.0,-2.1362718743148243
15.5,-2.787811156601953
16.0,-3.473643965570844
16.5,-3.69291737163413
17.0,-3.941199919481002
17.5,-4.281121386461772
18.0,-4.42987962054237
18.5,-4.313292645118353
19.0,-4.281376689013156
19.5,-4.724307732647169
20.0,-5.55773597305631
20.5,-6.583396193934016
21.0,-7.986608317898896
21.5,-10.047269673683322
22.0,-12.928538774637474
22.5,-16.083616885553887
23.0,-18.34101126074352
23.5,-19.848833163523363
24.0,-21.50607806134418
24.5,-23.092757943383845
25.0,-24.28979335243138
25.5,-25.625816365195377
26.0,-27.407903096530816
26.5,-29.347298079981865
27.0,-30.940405802765206
27.5,-31.761761498444756
28.0,-31.904512002778436
28.5,-32.06212716595475
29.0,-32.65393943216459
29.5,-33.11752259648493
30.0,-33.30831000648612
30.5,-33.66355888984452
31.0,-34.174783408863014
31.5,-34.765688956409385
32.0,-35.298181304056286
32.5,-35.67181174373615
33.0,-36.228385591158506
33.5,-36.99167798676902
34.0,-37.566119672620836
34.5,-37.96301239445704
35.0,-38.79002276412598
35.5,-40.27993952989899
36.0,-41.710833730214524
36.5,-42.86476513987715
37.0,-44.20567985863973
37.5,-45.411005934935574
38.0,-46.35430953226253
38.5,-47.51472665967773
39.0,-48.3913601226604
39.5,-48.20908694301328
40.0,-47.504218893202456
40.5,-47.148543716470535
41.0,-47.07557303420386
41.5,-46.63858589177152
42.0,-45.808830147740224
42.5,-45.396672329337925
43.0,-45.42311673562706
43.5,-45.26226537743186
44.0,-45.044389432138345
44.5,-45.02639335795051
45.0,-45.046953000767154
45.5,-44.90781241355063
46.0,-44.73710771205481
46.5,-45.08346915500758
47.0,-46.167085599152976
47.5,-47.337467419320866
48.0,-48.43786708249104
48.5,-49.56717078548574
49.0,-50.2077623107088
49.5,-50.21640953793546
50.0,-50.035104450798286
50.5,-50.250988319909546
51.0,-50.98138245464064
51.5,-51.6887326485613
52.0,-52.2795522771874
52.5,-53.04528747332859
53.0,-53.731198613624095
53.5,-53.97892818922181
54.0,-53.6831251073895
54.5,-53.17829217924573
55.0,-52.70848147623493
55.5,-52.08706596735539
56.0,-51.37918715172181
56.5,-51.23891911199526
57.0,-51.97902137411319
57.5,-52.59121218833572
58.0,-52.641339703579845
58.5,-52.62699707021851
59.0,-52.36176375806899
59.5,-51.619028840564276
60.0,-50.846808827795414
60.5,-50.37072121926479
61.0,-50.066079852552534
61.5,-49.428862876148685
62.0,-48.389240772645
62.5,-47.369617746812075
63.0,-46.14676138881232
63.5,-44.50467927091804
64.0,-42.763883799519846
64.5,-41.090089595329
65.0,-39.0679271093874
65.5,-36.84294413439981
66.0,-35.300636689933484
66.5,-34.859732205984486
67.0,-34.869461163471655
67.5,-34.48593268368903
68.0,-34.13386855738209
68.5,-34.102818870092555
69.0,-33.86461315123914
69.5,-33.331748922385515
70.0,-32.84203651122055
70.5,-32.67686241194454
71.0,-32.69403251831521
71.5,-32.491568099395096
72.0,-32.30889496428981
72.5,-32.36762011691307
73.0,-32.192995439091796
73.5,-31.464599916648773
74.0,-29.901906749593884
74.5,-27.91258691809394
75.0,-26.823704249308268
75.5,-25.872856692818527
76.0,-25.10535268437767
76.5,-24.56650065973816
77.0,-24.301609054652516
77.5,-24.355986304873195
78.0,-24.774940846152703
78.5,-25.603781114243507
79.0,-26.887815544898118
79.5,-28.67235257386901
