time_s,mean_null_norm
0.0,-3.9406254467604813
0.5,-2.7893008249045836
1.0,-1.9813247670490817
1.5,-1.4792731878836936
2.0,-1.2457220020981397
2.5,-1.243247124382138
3.0,-1.434424469425413
3.5,-1.7818299519176803
4.0,-2.2480394865486613
4.5,-2.7956289880080756
5.0,-3.3871743709856017
5.5,-3.588377707215577
6.0,-4.083784321392735
6.5,-4.53855145505547
7.0,-5.052379055331811
7.5,-5.493756632090505
8.0,-5.62843662073472
8.5,-5.444374355497168
9.0,-5.046970365021156
9.5,-4.6304891944594875
10.0,-4.248138438437946
10.5,-4.062463597843386
11.0,-4.116420172648468
11.5,-3.8285168301642933
12.0,-2.8945984479062448
12.5,-1.8330081709723218
13.0,-1.144294999154453
13.5,-0.8214878385778408
14.0,-0.5997346953674366
14.5,-0.29294205961482694
15.0,0.15413677738708115
15.5,0.6932847442401381
16.0,1.2294979334059686
16.5,2.025747954569233
17.0,2.7912186683060787
17.5,3.627285145824764
18.0,4.3902516874168365
18.5,4.623666366381902
19.0,4.404100632351218
19.5,3.859583909322298
20.0,2.934415389274474
20.5,1.8734944035931917
21.0,1.014711568242629
21.5,0.34239696085545784
22.0,-0.6101975309968106
22.5,-2.119494742663123
23.0,-3.950037248902604
23.5,-5.913255937859575
24.0,-7.877904913387899
24.5,-9.77656786174752
25.0,-11.65991002120885
25.5,-13.518957119349988
26.0,-15.309808685071284
26.5,-16.887856647078536
27.0,-18.19688341066421
27.5,-19.466461449752032
28.0,-20.987905513328776
28.5,-22.549471185453765
29.0,-23.799613963690195
29.5,-24.86128344943683
30.0,-25.67017199516527
30.5,-25.990980293632763
31.0,-26.07809258841347
31.5,-26.469993300989678
32.0,-27.239391980148312
32.5,-27.82763819564159
33.0,-28.129875948315252
33.5,-28.438049283906366
34.0,-28.614616879915072
34.5,-28.868713641361023
35.0,-29.452236958106607
35.5,-30.040089999427348
36.0,-30.615877917544783
36.5,-31.266962733905274
37.0,-31.965431744672816
37.5,-32.745807569769184
38.0,-33.461895466579826
38.5,-33.965499498256555
39.0,-34.27999714023049
39.5,-34.40733590488462
40.0,-34.45933812168136
40.5,-34.6820837182502
41.0,-35.16438406479311
41.5,-35.82885952653675
42.0,-36.31874440843669
42.5,-36.28267425557058
43.0,-35.961041013180946
43.5,-35.60870090104166
44.0,-35.127333941556046
44.5,-34.717635312260384
45.0,-34.54517791769867
45.5,-34.614890624053025
46.0,-34.960337534499516
46.5,-35.355502221504615
47.0,-35.62386437273455
47.5,-35.95195136502506
48.0,-36.489189853313256
48.5,-37.01848124686135
49.0,-37.322648955051754
49.5,-37.44212303662243
50.0,-37.55854200350694
50.5,-37.87758341106081
51.0,-38.328550888732714
51.5,-38.61892825989179
52.0,-38.68631685966216
52.5,-38.649533938837806
53.0,-38.69893089688374
53.5,-38.769343971976
54.0,-38.6455076259702
54.5,-38.31100221163827
55.0,-37.93698810597777
55.5,-37.79323186084983
56.0,-37.687589177513765
56.5,-37.39929435100699
57.0,-37.06362124067485
57.5,-36.79774559004418
58.0,-36.545646814472896
58.5,-36.156093924201
59.0,-35.633581133787104
59.5,-35.06839810866335
60.0,-34.60544279952159
60.5,-34.44723132026902
61.0,-34.40426872239385
61.5,-34.13250637884358
62.0,-33.74666616462209
62.5,-33.369353050450606
63.0,-32.94525887059574
63.5,-32.372991864251574
64.0,-31.581270636235256
64.5,-30.739564460403063
65.0,-30.071903549751116
65.5,-29.49656347462935
66.0,-28.68155651264495
66.5,-27.706189531274934
67.0,-26.856871881005254
67.5,-26.064049865989606
68.0,-25.18230119268733
68.5,-24.10830931416084
69.0,-22.906459655433185
69.5,-21.84834960196781
70.0,-21.029654791372618
70.5,-20.34248217042655
71.0,-19.60934719158868
71.5,-18.615209582404255
72.0,-17.49331689331691
72.5,-16.63941709520076
73.0,-16.062455227791354
73.5,-15.493128008545721
74.0,-14.80648163764728
74.5,-14.09674920233607
75.0,-13.362189770880901
75.5,-12.586404121827048
76.0,-11.759514848550532
76.5,-10.871644544427118
77.0,-9.91291580283256
77.5,-8.87345121714261
78.0,-7.743373380733023
78.5,-6.512804886979552
79.0,-5.171868329257949
79.5,-3.710686300943976
