time_s,mean_preferred_norm
0.0,-34.98640878055587
0.5,-34.46845126029704
1.0,-33.62612941062363
1.5,-32.48895914775737
2.0,-31.086456387919995
2.5,-29.448137047333194
3.0,-27.60351704221873
3.5,-25.582112288798303
4.0,-23.413438703293647
4.5,-21.127012201926487
5.0,-18.752348700918073
5.5,-15.971746143371503
6.0,-12.947052347717388
6.5,-10.065119323738415
7.0,-7.444246560458488
7.5,-5.0516726104728065
8.0,-3.228252502674351
8.5,-2.318979893644801
9.0,-2.1356306116614476
9.5,-2.4372702563736413
10.0,-2.5646906225145725
10.5,-1.9973234753253335
11.0,-1.067662811820697
11.5,-0.5780696746296263
12.0,-0.9992819802626792
12.5,-1.8966467412500774
13.0,-2.872198477545561
13.5,-3.9166176692643284
14.0,-4.416353178200276
14.5,-3.934327927593675
15.0,-2.871469830265783
15.5,-1.8369422281293701
16.0,-1.3005660206184237
16.5,-1.4987313029216613
17.0,-1.6937882536449718
17.5,-1.175177407379119
18.0,-0.05147861413416588
18.5,1.7631436013885073
19.0,4.884916105847764
19.5,9.319786700426583
20.0,14.90155519985555
20.5,21.502664538030587
21.0,28.7017998791124
21.5,36.43562259497944
22.0,45.201453703248596
22.5,54.81124908449901
23.0,64.03529702148266
23.5,72.26887194791281
24.0,79.5607969482067
24.5,85.04251118840732
25.0,87.87215565588816
25.5,88.5979460579513
26.0,87.85062066346495
26.5,86.09719102598618
27.0,83.70068201827678
27.5,80.46268051860838
28.0,75.98026252985588
28.5,70.85636076337302
29.0,65.94337080847727
29.5,61.068180692432406
30.0,56.500454525933705
30.5,52.801638307291356
31.0,49.80169591661159
31.5,47.56315563094427
32.0,45.99053135264254
32.5,44.326654757042995
33.0,42.14727986494756
33.5,39.753349548992446
34.0,36.99026458132284
34.5,33.36965499260242
35.0,29.733652357997155
35.5,26.67053712619347
36.0,23.884147389946012
36.5,21.204431428638067
37.0,18.411571956701327
37.5,15.533914554128547
38.0,12.569140739542828
38.5,9.592299156852821
39.0,6.478815572582299
39.5,3.1732170215162965
40.0,0.5785392317948428
40.5,-0.7614257824464232
41.0,-1.577868899752302
41.5,-2.602230504884348
42.0,-4.029985796636686
42.5,-5.922045240749275
43.0,-8.068764914094782
43.5,-10.26841665224759
44.0,-12.806175226742647
44.5,-15.634387602496341
45.0,-18.072875566993186
45.5,-20.130134041036847
46.0,-21.89285880177917
46.5,-23.100712828523953
47.0,-23.812470836503202
47.5,-24.27874810658485
48.0,-24.951788359648887
48.5,-26.32220258257031
49.0,-28.079443534296463
49.5,-29.390463599623935
50.0,-30.05845342407555
50.5,-30.61508456384992
51.0,-31.590601219663444
51.5,-32.81343842418412
52.0,-33.914616628332915
52.5,-35.09662807553289
53.0,-36.46142155743533
53.5,-37.82167700277619
54.0,-38.44156856227574
54.5,-38.472199545007214
55.0,-38.85094891189308
55.5,-39.43478748827098
56.0,-39.9857347213605
56.5,-40.092477078140746
57.0,-39.49005788427616
57.5,-38.792818671776
58.0,-38.511986433205784
58.5,-38.70327166947479
59.0,-38.8009680821701
59.5,-38.835605143706736
60.0,-39.41309283472486
60.5,-39.97056640193306
61.0,-39.75565810249894
61.5,-38.96393842866899
62.0,-37.910774102556594
62.5,-37.551191767804966
63.0,-38.47718200562271
63.5,-39.64554011548673
64.0,-40.430053025541355
64.5,-41.677635934905474
65.0,-43.092837979906015
65.5,-43.76905852172968
66.0,-44.189311244158446
66.5,-44.39322563016827
67.0,-44.5756296093843
67.5,-45.39203904610185
68.0,-46.374031101633875
68.5,-46.962489404319165
69.0,-47.02360256409081
69.5,-46.77373415379242
70.0,-46.27655574596914
70.5,-45.32079461943025
71.0,-44.17930442278925
71.5,-43.01471143396802
72.0,-41.93424475157369
72.5,-41.825947712622785
73.0,-42.468477983161264
73.5,-42.41696487044616
74.0,-41.718817393399
74.5,-41.16608099675892
75.0,-40.31161490997695
75.5,-39.4104492024242
76.0,-38.48480713406462
76.5,-37.55691196486147
77.0,-36.648986954778046
77.5,-35.7832553637776
78.0,-34.981940451823434
78.5,-34.2672654788788
79.0,-33.66145370490699
79.5,-33.186728389871284
