time_s,mean_null_norm
0.0,-46.36170557904367
0.5,-43.71105231105543
1.0,-41.21439859858547
1.5,-38.86945153750502
2.0,-36.6739182236853
2.5,-34.62550575299753
3.0,-32.72192122131296
3.5,-30.960871724502788
4.0,-29.340064358438276
4.5,-27.857206218990626
5.0,-26.510004402030585
5.5,-25.90471825585586
6.0,-25.687992452987782
6.5,-25.040954919256563
7.0,-22.44265087766393
7.5,-19.69026307030944
8.0,-18.872364745770124
8.5,-18.941838391615885
9.0,-18.10237548365822
9.5,-16.987296887849652
10.0,-15.970974107377623
10.5,-14.24483446240477
11.0,-11.775630679533151
11.5,-9.243532524674846
12.0,-6.952098956994066
12.5,-4.21786228768384
13.0,-1.1351893215700035
13.5,1.002862640164278
14.0,1.8883405361474412
14.5,2.085576623408297
15.0,1.978413109169154
15.5,1.9891335828525534
16.0,2.8124284175222147
16.5,4.738237795006692
17.0,7.578426484585901
17.5,9.062751504058472
18.0,8.976168034234487
18.5,8.848578464613256
19.0,8.890265092204174
19.5,7.9397049234717665
20.0,6.002672746484864
20.5,4.226116106506932
21.0,2.5125786361940206
21.5,0.01179567381485204
22.0,-3.2962703121226644
22.5,-6.85245996547287
23.0,-10.494415539420643
23.5,-14.433141959353215
24.0,-18.282301031693436
24.5,-21.50614944198007
25.0,-24.10752247699351
25.5,-26.327306387044857
26.0,-28.517910080221498
26.5,-30.261603609703972
27.0,-31.813347874446176
27.5,-33.68543751941055
28.0,-34.872289687312495
28.5,-35.33510556420473
29.0,-36.087163903397546
29.5,-37.37975434419648
30.0,-39.19951979961625
30.5,-41.39635005949123
31.0,-43.22878373825667
31.5,-44.80295960942775
32.0,-47.385703424337564
32.5,-50.66490748328988
33.0,-53.50532830895975
33.5,-55.60241284485083
34.0,-56.68514345756828
34.5,-56.95327652393412
35.0,-57.31143691200788
35.5,-58.34017127214755
36.0,-59.96940326524712
36.5,-60.974496453105665
37.0,-60.31062408116591
37.5,-58.82973750773324
38.0,-57.55653312875285
38.5,-56.63690536441315
39.0,-55.832998033148776
39.5,-55.286570158245844
40.0,-55.6332411154932
40.5,-57.13103343275801
41.0,-58.908131041825335
41.5,-60.93112506564453
42.0,-64.10610829218942
42.5,-67.09151163967411
43.0,-68.76303725927369
43.5,-69.57744335004901
44.0,-69.73135357585599
44.5,-69.79017255202349
45.0,-70.11945409775316
45.5,-70.29034650945599
46.0,-69.98491362224925
46.5,-69.22566305977801
47.0,-68.53548734629747
47.5,-68.43011669734685
48.0,-68.07522225327466
48.5,-66.58987597869479
49.0,-65.0957470876017
49.5,-64.95481570096399
50.0,-65.91076176948661
50.5,-67.40476320510658
51.0,-68.7046082447647
51.5,-69.4088919591991
52.0,-69.48455520649722
52.5,-68.82709361696486
53.0,-68.84734249658409
53.5,-70.59552572744101
54.0,-72.52078200648224
54.5,-73.32943649987105
55.0,-73.58039408732053
55.5,-73.9284304511225
56.0,-74.57156355474491
56.5,-75.69114433708559
57.0,-76.74605148589873
57.5,-77.12285090356804
58.0,-77.29052317364558
58.5,-77.32946669736586
59.0,-76.6413392983611
59.5,-75.16757439780491
60.0,-73.50631532001609
60.5,-72.37299864989221
61.0,-70.86639011460755
61.5,-66.9099446741082
62.0,-60.848584312531656
62.5,-54.665470946194304
63.0,-48.403978584839535
63.5,-41.55125363044582
64.0,-33.98060523694222
64.5,-25.669920686428334
65.0,-17.514090998642853
65.5,-10.402738305680606
66.0,-4.131408380947501
66.5,1.7449493909050815
67.0,6.860827827947651
67.5,10.884654435734326
68.0,13.661959283746734
68.5,15.902862771278249
69.0,18.4302631975172
69.5,20.09422227515443
70.0,19.436204042150496
70.5,16.828222216153947
71.0,14.530680815674632
71.5,13.963104388790658
72.0,13.723342874767585
72.5,13.446745061509068
73.0,14.014915677943563
73.5,13.758135205273437
74.0,11.853020637423704
74.5,10.807042819352867
75.0,10.73976597471529
75.5,11.035070827383027
76.0,11.745172739149563
76.5,12.922287071808224
77.0,14.6186291871524
77.5,16.886414446975422
78.0,19.777858213070658
78.5,23.34517584723146
79.0,27.640582711251163
79.5,32.716294166923156
